Time (min),Cell pot(V),Curr den (A/m^2),Capacity,Energy,Power
0.0,4.2279,1.75,0.0,43.54,8.84
0.0,4.22572,1.75,0.0,43.54,8.84
0.0,4.22572,1.75,0.0,43.54,8.84
0.0,4.22572,1.75,0.0,43.54,8.84
0.0,4.22506,1.75,0.0,43.54,8.84
0.001,4.22506,1.75,2.9166666666666666e-06,43.54,8.84
0.001,4.22506,1.75,2.9166666666666666e-06,43.54,8.84
0.001,4.22462,1.75,2.9166666666666666e-06,43.54,8.84
0.001,4.22462,1.75,2.9166666666666666e-06,43.54,8.84
0.001,4.22462,1.75,2.9166666666666666e-06,43.54,8.84
0.001,4.22428,1.75,2.9166666666666666e-06,43.54,8.84
0.001,4.22428,1.75,2.9166666666666666e-06,43.54,8.84
0.001,4.22428,1.75,2.9166666666666666e-06,43.54,8.84
0.001,4.22398,1.75,2.9166666666666666e-06,43.54,8.84
0.002,4.22398,1.75,5.833333333333333e-06,43.54,8.84
0.002,4.22398,1.75,5.833333333333333e-06,43.54,8.84
0.002,4.22371,1.75,5.833333333333333e-06,43.54,8.84
0.002,4.22371,1.75,5.833333333333333e-06,43.54,8.84
0.002,4.22371,1.75,5.833333333333333e-06,43.54,8.84
0.002,4.22345,1.75,5.833333333333333e-06,43.54,8.84
0.003,4.22345,1.75,8.750000000000001e-06,43.54,8.84
0.003,4.22345,1.75,8.750000000000001e-06,43.54,8.84
0.003,4.22321,1.75,8.750000000000001e-06,43.54,8.84
0.003,4.22321,1.75,8.750000000000001e-06,43.54,8.84
0.003,4.22321,1.75,8.750000000000001e-06,43.54,8.84
0.003,4.222980000000001,1.75,8.750000000000001e-06,43.54,8.84
0.004,4.222980000000001,1.75,1.1666666666666666e-05,43.54,8.84
0.004,4.222980000000001,1.75,1.1666666666666666e-05,43.54,8.84
0.004,4.22275,1.75,1.1666666666666666e-05,43.54,8.84
0.005,4.22275,1.75,1.4583333333333335e-05,43.54,8.84
0.005,4.22275,1.75,1.4583333333333335e-05,43.54,8.84
0.005,4.222519999999999,1.75,1.4583333333333335e-05,43.54,8.84
0.006,4.222519999999999,1.75,1.7500000000000002e-05,43.54,8.84
0.006,4.222519999999999,1.75,1.7500000000000002e-05,43.54,8.84
0.006,4.22229,1.75,1.7500000000000002e-05,43.54,8.84
0.006999999999999999,4.22229,1.75,2.0416666666666664e-05,43.54,8.84
0.006999999999999999,4.22229,1.75,2.0416666666666664e-05,43.54,8.84
0.006999999999999999,4.22205,1.75,2.0416666666666664e-05,43.54,8.84
0.006999999999999999,4.22205,1.75,2.0416666666666664e-05,43.54,8.84
0.006999999999999999,4.22205,1.75,2.0416666666666664e-05,43.54,8.84
0.006999999999999999,4.22182,1.75,2.0416666666666664e-05,43.54,8.84
0.009000000000000001,4.22182,1.75,2.625e-05,43.54,8.84
0.009000000000000001,4.22182,1.75,2.625e-05,43.54,8.84
0.009000000000000001,4.22158,1.75,2.625e-05,43.54,8.84
0.01,4.22158,1.75,2.916666666666667e-05,43.54,8.84
0.01,4.22158,1.75,2.916666666666667e-05,43.54,8.84
0.01,4.2213400000000005,1.75,2.916666666666667e-05,43.54,8.84
0.011000000000000001,4.2213400000000005,1.75,3.208333333333334e-05,43.54,8.84
0.011000000000000001,4.2213400000000005,1.75,3.208333333333334e-05,43.54,8.84
0.011000000000000001,4.22109,1.75,3.208333333333334e-05,43.54,8.84
0.012,4.22109,1.75,3.5000000000000004e-05,43.54,8.84
0.012,4.22109,1.75,3.5000000000000004e-05,43.54,8.84
0.012,4.22084,1.75,3.5000000000000004e-05,43.54,8.84
0.013999999999999999,4.22084,1.75,4.083333333333333e-05,43.54,8.84
0.013999999999999999,4.22084,1.75,4.083333333333333e-05,43.54,8.84
0.013999999999999999,4.22058,1.75,4.083333333333333e-05,43.54,8.84
0.016,4.22058,1.75,4.6666666666666665e-05,43.54,8.84
0.016,4.22058,1.75,4.6666666666666665e-05,43.54,8.84
0.016,4.22031,1.75,4.6666666666666665e-05,43.54,8.84
0.017,4.22031,1.75,4.958333333333334e-05,43.54,8.84
0.017,4.22031,1.75,4.958333333333334e-05,43.54,8.84
0.017,4.22004,1.75,4.958333333333334e-05,43.54,8.84
0.019,4.22004,1.75,5.541666666666667e-05,43.54,8.84
0.019,4.22004,1.75,5.541666666666667e-05,43.54,8.84
0.019,4.21975,1.75,5.541666666666667e-05,43.54,8.84
0.022000000000000002,4.21975,1.75,6.416666666666668e-05,43.54,8.84
0.022000000000000002,4.21975,1.75,6.416666666666668e-05,43.54,8.84
0.022000000000000002,4.21945,1.75,6.416666666666668e-05,43.54,8.84
0.024,4.21945,1.75,7.000000000000001e-05,43.54,8.84
0.024,4.21945,1.75,7.000000000000001e-05,43.54,8.84
0.024,4.21915,1.75,7.000000000000001e-05,43.54,8.84
0.027000000000000003,4.21915,1.75,7.875000000000002e-05,43.54,8.84
0.027000000000000003,4.21915,1.75,7.875000000000002e-05,43.54,8.84
0.027000000000000003,4.2188300000000005,1.75,7.875000000000002e-05,43.54,8.84
0.03,4.2188300000000005,1.75,8.75e-05,43.54,8.84
0.03,4.2188300000000005,1.75,8.75e-05,43.54,8.84
0.03,4.21849,1.75,8.75e-05,43.54,8.84
0.033,4.21849,1.75,9.625000000000001e-05,43.54,8.84
0.033,4.21849,1.75,9.625000000000001e-05,43.54,8.84
0.033,4.21815,1.75,9.625000000000001e-05,43.54,8.84
0.037000000000000005,4.21815,1.75,0.00010791666666666667,43.54,8.84
0.037000000000000005,4.21815,1.75,0.00010791666666666667,43.54,8.84
0.037000000000000005,4.21779,1.75,0.00010791666666666667,43.54,8.84
0.040999999999999995,4.21779,1.75,0.00011958333333333332,43.54,8.84
0.040999999999999995,4.21779,1.75,0.00011958333333333332,43.54,8.84
0.040999999999999995,4.21742,1.75,0.00011958333333333332,43.54,8.84
0.045,4.21742,1.75,0.00013125,43.54,8.84
0.045,4.21742,1.75,0.00013125,43.54,8.84
0.045,4.21703,1.75,0.00013125,43.54,8.84
0.05,4.21703,1.75,0.00014583333333333335,43.54,8.84
0.05,4.21703,1.75,0.00014583333333333335,43.54,8.84
0.05,4.21662,1.75,0.00014583333333333335,43.54,8.84
0.055,4.21662,1.75,0.00016041666666666667,43.54,8.84
0.055,4.21662,1.75,0.00016041666666666667,43.54,8.84
0.055,4.21619,1.75,0.00016041666666666667,43.54,8.84
0.061,4.21619,1.75,0.00017791666666666666,43.54,8.84
0.061,4.21619,1.75,0.00017791666666666666,43.54,8.84
0.061,4.21575,1.75,0.00017791666666666666,43.54,8.84
0.067,4.21575,1.75,0.00019541666666666668,43.54,8.84
0.067,4.21575,1.75,0.00019541666666666668,43.54,8.84
0.067,4.21528,1.75,0.00019541666666666668,43.54,8.84
0.07400000000000001,4.21528,1.75,0.00021583333333333334,43.54,8.84
0.07400000000000001,4.21528,1.75,0.00021583333333333334,43.54,8.84
0.07400000000000001,4.21479,1.75,0.00021583333333333334,43.54,8.84
0.08199999999999999,4.21479,1.75,0.00023916666666666663,43.54,8.84
0.08199999999999999,4.21479,1.75,0.00023916666666666663,43.54,8.84
0.08199999999999999,4.2142800000000005,1.75,0.00023916666666666663,43.54,8.84
0.091,4.2142800000000005,1.75,0.0002654166666666667,43.54,8.84
0.091,4.2142800000000005,1.75,0.0002654166666666667,43.54,8.84
0.091,4.2137400000000005,1.75,0.0002654166666666667,43.54,8.84
0.1,4.2137400000000005,1.75,0.0002916666666666667,43.54,8.84
0.1,4.2137400000000005,1.75,0.0002916666666666667,43.54,8.84
0.1,4.21318,1.75,0.0002916666666666667,43.54,8.84
0.11,4.21318,1.75,0.00032083333333333334,43.54,8.84
0.11,4.21318,1.75,0.00032083333333333334,43.54,8.84
0.11,4.2125900000000005,1.75,0.00032083333333333334,43.54,8.84
0.122,4.2125900000000005,1.75,0.0003558333333333333,43.54,8.84
0.122,4.2125900000000005,1.75,0.0003558333333333333,43.54,8.84
0.122,4.21197,1.75,0.0003558333333333333,43.54,8.84
0.134,4.21197,1.75,0.00039083333333333336,43.54,8.84
0.134,4.21197,1.75,0.00039083333333333336,43.54,8.84
0.134,4.21132,1.75,0.00039083333333333336,43.54,8.84
0.14800000000000002,4.21132,1.75,0.0004316666666666667,43.54,8.84
0.14800000000000002,4.21132,1.75,0.0004316666666666667,43.54,8.84
0.14800000000000002,4.21064,1.75,0.0004316666666666667,43.54,8.84
