Time (min),Cell pot(V),Curr den (A/m^2),Capacity,Energy,Power
0.0,3.8895800000000005,35.0,0.0,32.36,138.53
0.0,3.84692,35.0,0.0,32.36,138.53
0.0,3.84692,35.0,0.0,32.36,138.53
0.0,3.84692,35.0,0.0,32.36,138.53
0.0,3.8344199999999997,35.0,0.0,32.36,138.53
0.001,3.8344199999999997,35.0,5.833333333333334e-05,32.36,138.53
0.001,3.8344199999999997,35.0,5.833333333333334e-05,32.36,138.53
0.001,3.8263300000000005,35.0,5.833333333333334e-05,32.36,138.53
0.001,3.8263300000000005,35.0,5.833333333333334e-05,32.36,138.53
0.001,3.8263300000000005,35.0,5.833333333333334e-05,32.36,138.53
0.001,3.8199699999999996,35.0,5.833333333333334e-05,32.36,138.53
0.001,3.8199699999999996,35.0,5.833333333333334e-05,32.36,138.53
0.001,3.8199699999999996,35.0,5.833333333333334e-05,32.36,138.53
0.001,3.8145300000000004,35.0,5.833333333333334e-05,32.36,138.53
0.002,3.8145300000000004,35.0,0.00011666666666666668,32.36,138.53
0.002,3.8145300000000004,35.0,0.00011666666666666668,32.36,138.53
0.002,3.8096300000000003,35.0,0.00011666666666666668,32.36,138.53
0.002,3.8096300000000003,35.0,0.00011666666666666668,32.36,138.53
0.002,3.8096300000000003,35.0,0.00011666666666666668,32.36,138.53
0.002,3.8050900000000003,35.0,0.00011666666666666668,32.36,138.53
0.003,3.8050900000000003,35.0,0.000175,32.36,138.53
0.003,3.8050900000000003,35.0,0.000175,32.36,138.53
0.003,3.8008,35.0,0.000175,32.36,138.53
0.003,3.8008,35.0,0.000175,32.36,138.53
0.003,3.8008,35.0,0.000175,32.36,138.53
0.003,3.7966699999999998,35.0,0.000175,32.36,138.53
0.004,3.7966699999999998,35.0,0.00023333333333333336,32.36,138.53
0.004,3.7966699999999998,35.0,0.00023333333333333336,32.36,138.53
0.004,3.79265,35.0,0.00023333333333333336,32.36,138.53
0.005,3.79265,35.0,0.0002916666666666667,32.36,138.53
0.005,3.79265,35.0,0.0002916666666666667,32.36,138.53
0.005,3.7887199999999996,35.0,0.0002916666666666667,32.36,138.53
0.006,3.7887199999999996,35.0,0.00035,32.36,138.53
0.006,3.7887199999999996,35.0,0.00035,32.36,138.53
0.006,3.7848300000000004,35.0,0.00035,32.36,138.53
0.006999999999999999,3.7848300000000004,35.0,0.0004083333333333333,32.36,138.53
0.006999999999999999,3.7848300000000004,35.0,0.0004083333333333333,32.36,138.53
0.006999999999999999,3.7809699999999995,35.0,0.0004083333333333333,32.36,138.53
0.006999999999999999,3.7809699999999995,35.0,0.0004083333333333333,32.36,138.53
0.006999999999999999,3.7809699999999995,35.0,0.0004083333333333333,32.36,138.53
0.006999999999999999,3.7771199999999996,35.0,0.0004083333333333333,32.36,138.53
0.009000000000000001,3.7771199999999996,35.0,0.0005250000000000001,32.36,138.53
0.009000000000000001,3.7771199999999996,35.0,0.0005250000000000001,32.36,138.53
0.009000000000000001,3.77326,35.0,0.0005250000000000001,32.36,138.53
0.01,3.77326,35.0,0.0005833333333333334,32.36,138.53
0.01,3.77326,35.0,0.0005833333333333334,32.36,138.53
0.01,3.76939,35.0,0.0005833333333333334,32.36,138.53
0.011000000000000001,3.76939,35.0,0.0006416666666666668,32.36,138.53
0.011000000000000001,3.76939,35.0,0.0006416666666666668,32.36,138.53
0.011000000000000001,3.7654900000000002,35.0,0.0006416666666666668,32.36,138.53
0.012,3.7654900000000002,35.0,0.0007,32.36,138.53
0.012,3.7654900000000002,35.0,0.0007,32.36,138.53
