Time (min),Cell pot(V),Curr den (A/m^2),Capacity,Energy,Power
0.0,4.06764,17.5,0.0,38.02,79.11
0.0,4.04606,17.5,0.0,38.02,79.11
0.0,4.04606,17.5,0.0,38.02,79.11
0.0,4.04606,17.5,0.0,38.02,79.11
0.0,4.03961,17.5,0.0,38.02,79.11
0.001,4.03961,17.5,2.916666666666667e-05,38.02,79.11
0.001,4.03961,17.5,2.916666666666667e-05,38.02,79.11
0.001,4.03541,17.5,2.916666666666667e-05,38.02,79.11
0.001,4.03541,17.5,2.916666666666667e-05,38.02,79.11
0.001,4.03541,17.5,2.916666666666667e-05,38.02,79.11
0.001,4.03209,17.5,2.916666666666667e-05,38.02,79.11
0.001,4.03209,17.5,2.916666666666667e-05,38.02,79.11
0.001,4.03209,17.5,2.916666666666667e-05,38.02,79.11
0.001,4.02923,17.5,2.916666666666667e-05,38.02,79.11
0.002,4.02923,17.5,5.833333333333334e-05,38.02,79.11
0.002,4.02923,17.5,5.833333333333334e-05,38.02,79.11
0.002,4.02664,17.5,5.833333333333334e-05,38.02,79.11
0.002,4.02664,17.5,5.833333333333334e-05,38.02,79.11
0.002,4.02664,17.5,5.833333333333334e-05,38.02,79.11
0.002,4.02423,17.5,5.833333333333334e-05,38.02,79.11
0.003,4.02423,17.5,8.75e-05,38.02,79.11
0.003,4.02423,17.5,8.75e-05,38.02,79.11
0.003,4.02194,17.5,8.75e-05,38.02,79.11
0.003,4.02194,17.5,8.75e-05,38.02,79.11
0.003,4.02194,17.5,8.75e-05,38.02,79.11
0.003,4.0197199999999995,17.5,8.75e-05,38.02,79.11
0.004,4.0197199999999995,17.5,0.00011666666666666668,38.02,79.11
0.004,4.0197199999999995,17.5,0.00011666666666666668,38.02,79.11
0.004,4.01755,17.5,0.00011666666666666668,38.02,79.11
0.005,4.01755,17.5,0.00014583333333333335,38.02,79.11
0.005,4.01755,17.5,0.00014583333333333335,38.02,79.11
0.005,4.01541,17.5,0.00014583333333333335,38.02,79.11
0.006,4.01541,17.5,0.000175,38.02,79.11
0.006,4.01541,17.5,0.000175,38.02,79.11
0.006,4.01328,17.5,0.000175,38.02,79.11
0.006999999999999999,4.01328,17.5,0.00020416666666666665,38.02,79.11
0.006999999999999999,4.01328,17.5,0.00020416666666666665,38.02,79.11
0.006999999999999999,4.01116,17.5,0.00020416666666666665,38.02,79.11
0.006999999999999999,4.01116,17.5,0.00020416666666666665,38.02,79.11
0.006999999999999999,4.01116,17.5,0.00020416666666666665,38.02,79.11
0.006999999999999999,4.00902,17.5,0.00020416666666666665,38.02,79.11
0.009000000000000001,4.00902,17.5,0.00026250000000000004,38.02,79.11
0.009000000000000001,4.00902,17.5,0.00026250000000000004,38.02,79.11
0.009000000000000001,4.00686,17.5,0.00026250000000000004,38.02,79.11
0.01,4.00686,17.5,0.0002916666666666667,38.02,79.11
0.01,4.00686,17.5,0.0002916666666666667,38.02,79.11
0.01,4.0046800000000005,17.5,0.0002916666666666667,38.02,79.11
0.011000000000000001,4.0046800000000005,17.5,0.0003208333333333334,38.02,79.11
0.011000000000000001,4.0046800000000005,17.5,0.0003208333333333334,38.02,79.11
0.011000000000000001,4.00246,17.5,0.0003208333333333334,38.02,79.11
0.012,4.00246,17.5,0.00035,38.02,79.11
0.012,4.00246,17.5,0.00035,38.02,79.11
0.012,4.00021,17.5,0.00035,38.02,79.11
0.013999999999999999,4.00021,17.5,0.0004083333333333333,38.02,79.11
0.013999999999999999,4.00021,17.5,0.0004083333333333333,38.02,79.11
0.013999999999999999,3.99791,17.5,0.0004083333333333333,38.02,79.11
0.016,3.99791,17.5,0.0004666666666666667,38.02,79.11
0.016,3.99791,17.5,0.0004666666666666667,38.02,79.11
0.016,3.99556,17.5,0.0004666666666666667,38.02,79.11
0.017,3.99556,17.5,0.0004958333333333334,38.02,79.11
0.017,3.99556,17.5,0.0004958333333333334,38.02,79.11
0.017,3.99316,17.5,0.0004958333333333334,38.02,79.11
0.019,3.99316,17.5,0.0005541666666666667,38.02,79.11
0.019,3.99316,17.5,0.0005541666666666667,38.02,79.11
0.019,3.9907,17.5,0.0005541666666666667,38.02,79.11
